seconds,bpm,nd
111.750,113.750,15.500
112.000,112.250,15.500
112.250,112.250,15.500
112.500,112.250,15.000
112.750,114.500,15.000
113.000,114.500,14.500
113.250,116.500,14.000
113.500,116.500,14.000
113.750,118.250,14.000
114.000,118.250,13.500
114.250,121.250,13.500
114.500,121.250,13.500
114.750,123.250,13.000
115.000,123.250,13.000
115.250,124.750,13.000
115.500,126.250,12.500
115.750,126.250,12.500
116.000,127.000,13.500
116.250,127.000,13.500
116.500,127.250,12.500
116.750,127.250,12.500
117.000,128.500,12.500
117.250,128.500,12.500
117.500,130.000,13.000
117.750,130.000,13.000
118.000,131.250,13.500
118.250,132.500,13.500
118.500,132.500,13.500
118.750,133.250,14.500
119.000,133.250,14.500
119.250,132.000,15.000
119.500,132.000,15.500
119.750,131.250,15.500
120.000,131.250,15.500
120.250,130.750,15.500
120.500,130.750,15.500
120.750,130.750,15.500
121.000,131.250,15.500
121.250,131.250,15.500
121.500,131.750,15.000
121.750,131.750,15.500
122.000,133.750,14.500
122.250,133.750,14.000
122.500,135.000,14.000
122.750,135.250,14.000
123.000,135.250,14.000
123.250,136.500,14.000
123.500,136.500,13.500
123.750,137.750,13.500
124.000,137.750,13.500
124.250,138.000,13.500
124.500,138.500,13.000
124.750,138.500,13.000
125.000,139.000,13.000
125.250,139.000,13.000
125.500,140.000,13.000
125.750,140.250,12.500
126.000,140.250,12.500
126.250,140.250,12.000
126.500,140.250,12.000
126.750,141.000,12.500
127.000,142.000,12.500
127.250,142.000,12.500
127.500,143.500,13.000
127.750,143.500,13.000
128.000,143.750,13.000
128.250,143.750,13.000
128.500,143.750,12.500
128.750,143.500,12.500
129.000,143.500,12.500
129.250,142.250,12.500
129.500,142.250,12.000
129.750,141.500,12.500
130.000,140.500,12.500
130.250,140.500,12.500
130.500,140.500,12.000
130.750,140.500,12.000
131.000,140.500,12.000
131.250,140.750,12.000
131.500,140.750,12.000
131.750,141.000,12.000
132.000,141.000,12.000
132.250,141.500,11.500
132.500,142.000,11.500
132.750,142.000,11.500
133.000,142.250,11.500
133.250,142.250,11.500
133.500,143.000,11.500
133.750,143.000,11.000
134.000,143.000,11.500
134.250,143.000,11.500
134.500,143.000,11.000
134.750,143.000,11.500
135.000,143.000,11.000
135.250,143.000,10.000
135.500,143.500,10.500
135.750,143.500,10.500
136.000,143.750,10.500
136.250,144.500,10.000
136.500,144.500,10.000
136.750,144.750,10.000
137.000,144.750,10.000
137.250,145.250,9.500
137.500,146.000,10.000
137.750,146.000,10.000
138.000,146.750,9.500
138.250,146.750,10.000
138.500,146.250,9.500
138.750,145.000,9.500
139.000,145.000,9.500
139.250,144.750,9.500
139.500,144.750,8.500
139.750,145.000,7.000
140.000,146.250,6.500
140.250,146.250,6.000
140.500,147.000,6.000
140.750,147.000,7.500
141.000,146.000,10.000
141.250,146.000,13.500
141.500,145.500,15.000
141.750,145.500,16.500
142.000,149.500,16.500
142.250,150.500,13.500
142.500,150.500,13.500
142.750,152.750,12.500
143.000,152.750,11.500
143.250,153.750,11.500
143.500,154.750,11.500
143.750,154.750,10.500
144.000,155.000,8.000
144.250,155.250,5.500
144.500,155.250,3.500
144.750,156.250,3.000
145.000,157.250,3.500
145.250,157.250,3.000
145.500,158.250,2.500
145.750,158.250,1.000
146.000,158.250,0.000
146.250,158.750,0.000
146.500,158.750,0.000
146.750,158.750,0.500
147.000,158.750,0.000
147.250,158.750,0.000
147.500,158.750,0.000
147.750,158.750,0.000
148.000,159.750,0.000
148.250,159.750,0.000
148.500,159.750,0.000
148.750,159.750,0.000
149.000,157.500,0.000
149.250,157.500,0.000
149.500,157.250,0.000
149.750,157.250,0.000
150.000,157.250,0.000
150.250,158.000,0.000
150.500,158.000,0.000
150.750,158.000,0.000
151.000,156.250,0.000
151.250,156.250,0.000
151.500,151.500,0.000
151.750,145.500,0.000
152.000,145.500,0.000
152.250,140.250,1.500
152.500,140.250,1.000
152.750,139.500,1.500
153.000,141.750,3.000
153.250,141.750,5.500
153.500,144.500,7.000
153.750,144.500,7.500
154.000,145.500,8.000
154.250,147.500,9.000
154.500,147.500,10.000
154.750,148.250,11.500
155.000,148.250,12.500
155.250,149.000,13.000
155.500,149.250,13.500
155.750,149.250,13.500
156.000,148.250,14.000
156.250,148.250,13.500
156.500,147.000,14.000
156.750,147.000,14.000
157.000,145.750,14.000
157.250,145.250,14.000
157.500,145.250,13.000
157.750,145.500,13.000
158.000,145.750,13.000
158.250,145.750,12.500
158.500,145.000,13.000
158.750,145.000,13.000
159.000,145.250,14.000
159.250,146.500,15.000
159.500,146.500,15.500
159.750,146.750,15.500
160.000,146.750,16.500
160.250,147.250,17.000
160.500,148.000,18.500
160.750,148.000,20.000
161.000,148.750,20.000
161.250,150.000,20.500
161.500,150.000,20.500
161.750,151.000,21.000
162.000,151.500,21.500
162.250,151.500,22.000
162.500,151.000,23.000
162.750,151.000,24.000
163.000,151.000,23.000
163.250,151.250,21.500
163.500,151.250,21.000
163.750,151.500,21.000
164.000,151.500,21.000
164.250,151.750,21.500
164.500,151.500,21.000
164.750,151.500,20.500
165.000,150.750,20.000
165.250,150.000,19.500
165.500,150.000,19.000
165.750,150.000,19.000
166.000,148.750,19.000
166.250,148.750,18.500
166.500,148.000,17.000
166.750,148.000,15.000
167.000,148.250,14.000
167.250,148.000,13.500
167.500,148.000,13.000
167.750,147.500,13.500
168.000,147.500,12.500
168.250,147.750,11.000
168.500,148.750,10.000
168.750,148.750,9.500
169.000,149.250,12.500
169.250,149.000,14.000
169.500,149.000,14.500
169.750,149.000,14.500
170.000,149.000,14.500
170.250,148.500,15.500
170.500,148.500,16.000
170.750,148.500,17.000
171.000,148.500,17.000
171.250,148.500,17.500
171.500,148.500,17.500
171.750,148.500,17.500
172.000,148.500,17.500
172.250,148.500,18.000
172.500,148.500,18.000
172.750,148.500,18.000
173.000,148.250,18.000
173.250,148.250,18.000
173.500,148.000,17.500
173.750,148.250,17.500
174.000,148.250,17.500
174.250,149.750,17.000
174.500,149.750,17.000
174.750,149.750,17.000
175.000,150.000,16.500
175.250,149.750,16.000
175.500,149.750,15.500
175.750,150.250,15.500
176.000,150.250,16.500
176.250,150.500,16.500
176.500,150.500,17.000
176.750,150.500,17.000
177.000,150.000,17.500
177.250,150.000,18.000
177.500,150.000,18.000
177.750,150.000,18.500
178.000,150.000,18.500
178.250,150.000,18.500
178.500,150.000,18.500
178.750,150.000,18.500
179.000,149.000,18.500
179.250,149.000,18.500
179.500,149.500,18.000
179.750,150.000,18.500
180.000,150.000,18.500
180.250,150.000,19.000
180.500,150.250,19.000
180.750,150.250,19.000
181.000,150.250,19.000
181.250,150.250,19.000
181.500,150.250,19.000
181.750,150.250,19.000
182.000,150.250,19.000
182.250,150.250,19.000
182.500,150.250,19.000
182.750,150.250,19.000
183.000,150.500,19.000
183.250,150.500,18.500
183.500,150.750,18.500
183.750,151.000,18.500
184.000,151.000,19.000
184.250,151.250,19.000
184.500,151.250,19.000
184.750,151.250,19.500
185.000,150.750,19.500
185.250,150.250,20.000
185.500,150.250,19.500
185.750,150.250,19.000
186.000,150.000,19.500
186.250,150.000,19.500
186.500,149.500,19.500
186.750,149.500,19.500
187.000,149.500,19.500
187.250,149.250,20.000
187.500,149.250,20.000
187.750,148.000,19.500
188.000,148.000,19.500
188.250,148.000,20.000
188.500,148.250,20.000
188.750,148.250,20.500
189.000,148.250,20.500
189.250,148.250,20.500
189.500,148.000,20.500
189.750,148.000,20.500
190.000,148.000,20.500
190.250,148.250,20.500
190.500,148.250,20.000
190.750,148.250,20.500
191.000,148.250,20.500
191.250,148.250,20.000
191.500,148.250,20.000
191.750,148.250,20.000
192.000,148.250,19.500
192.250,148.250,19.500
192.500,148.250,19.500
192.750,148.250,19.500
193.000,148.500,19.500
193.250,148.500,19.000
193.500,148.500,18.500
193.750,148.500,18.500
194.000,148.500,18.500
194.250,148.750,19.000
194.500,148.750,18.500
194.750,149.000,18.500
195.000,149.000,18.500
195.250,149.000,19.500
195.500,149.250,20.000
195.750,149.750,19.500
196.000,149.750,19.000
196.250,150.000,19.000
196.500,150.000,19.500
196.750,149.500,19.000
197.000,149.500,19.000
197.250,149.500,19.000
197.500,149.000,19.000
197.750,149.250,18.500
198.000,149.250,19.000
198.250,149.500,19.500
198.500,149.500,19.500
198.750,149.500,19.500
199.000,149.500,19.000
199.250,149.500,19.000
199.500,149.750,19.000
199.750,149.750,19.000
200.000,149.750,19.500
200.250,149.750,19.500
200.500,149.750,19.000
200.750,149.750,18.500
201.000,149.250,19.000
201.250,149.250,18.500
201.500,149.500,18.500
201.750,150.000,19.000
202.000,150.000,19.000
202.250,150.000,19.000
202.500,150.000,19.000
202.750,150.000,18.500
203.000,150.000,18.500
203.250,150.000,18.500
203.500,150.250,18.500
203.750,150.250,19.000
204.000,150.250,18.500
204.250,150.500,19.500
204.500,150.500,19.500
204.750,150.750,19.000
205.000,151.000,19.000
205.250,151.000,19.500
205.500,151.000,19.500
205.750,151.000,19.500
206.000,151.250,20.000
206.250,151.250,19.500
206.500,151.250,19.500
206.750,151.500,19.500
207.000,151.500,19.500
207.250,151.000,19.500
207.500,150.750,19.000
207.750,150.750,19.000
208.000,150.500,20.000
208.250,151.500,19.500
208.500,151.500,19.000
208.750,151.500,19.000
209.000,150.750,18.500
209.250,150.750,19.000
209.500,150.750,19.000
209.750,150.750,18.500
210.000,150.750,18.500
210.250,150.750,17.500
210.500,150.750,17.000
210.750,150.750,17.500
211.000,151.250,18.000
211.250,151.250,18.000
211.500,151.000,17.500
211.750,150.500,17.500
212.000,150.500,17.500
212.250,150.500,17.500
212.500,150.500,18.000
212.750,150.000,17.500
213.000,150.250,17.500
213.250,150.250,17.500
213.500,150.500,16.500
213.750,150.500,16.500
214.000,150.750,16.500
214.250,150.750,16.000
214.500,150.750,16.000
214.750,150.500,16.000
215.000,150.500,16.000
215.250,150.500,16.500
215.500,150.500,16.500
215.750,150.750,15.500
216.000,150.750,15.500
216.250,151.000,15.500
216.500,151.500,15.500
216.750,151.500,15.500
217.000,151.750,15.500
217.250,152.000,15.500
217.500,152.000,16.500
217.750,152.250,16.500
218.000,152.250,16.500
218.250,152.250,16.500
218.500,152.250,16.500
218.750,152.250,16.500
219.000,152.000,16.500
219.250,151.500,16.500
219.500,151.500,17.500
219.750,151.500,17.500
220.000,151.500,17.000
220.250,151.000,17.000
220.500,150.750,17.000
220.750,150.750,17.000
221.000,150.250,17.000
221.250,150.250,17.500
221.500,150.250,17.500
221.750,150.000,18.000
222.000,150.000,18.000
222.250,150.000,17.500
222.500,149.500,17.500
222.750,149.500,17.500
223.000,149.250,17.500
223.250,149.500,17.500
223.500,149.500,17.500
223.750,149.750,17.500
224.000,149.750,18.000
224.250,149.750,17.500
224.500,150.000,17.500
224.750,150.000,17.500
225.000,150.000,17.500
225.250,150.000,17.500
225.500,150.000,17.500
225.750,150.000,17.500
226.000,150.500,17.500
226.250,150.500,17.500
226.500,150.250,17.000
226.750,150.250,17.500
227.000,150.250,18.000
227.250,150.250,17.500
227.500,150.250,18.000
227.750,150.250,18.000
228.000,150.250,18.000
228.250,149.500,18.500
228.500,149.500,18.000
228.750,148.750,18.500
229.000,148.750,18.000
229.250,149.000,18.000
229.500,149.000,18.000
229.750,149.000,18.000
230.000,149.000,18.000
230.250,148.750,17.500
230.500,148.750,18.000
230.750,148.750,17.500
231.000,148.750,17.500
231.250,149.000,17.500
231.500,149.000,17.500
231.750,149.000,17.500
232.000,149.250,18.000
232.250,149.250,18.000
232.500,149.250,18.500
232.750,149.500,19.000
233.000,149.500,18.500
233.250,150.000,18.500
233.500,150.000,19.000
233.750,150.000,19.000
234.000,150.000,19.500
234.250,150.000,19.500
234.500,150.000,19.500
234.750,150.000,19.500
235.000,150.000,20.000
235.250,148.250,19.500
235.500,148.250,19.500
235.750,148.250,19.500
236.000,148.250,19.000
236.250,148.250,19.000
236.500,148.250,19.500
236.750,148.500,20.000
237.000,148.500,20.000
237.250,148.750,20.000
237.500,148.750,20.000
237.750,147.750,19.500
238.000,147.500,19.500
238.250,147.500,19.000
238.500,147.500,19.000
238.750,147.500,20.000
239.000,148.000,19.500
239.250,148.500,19.000
239.500,148.500,19.500
239.750,148.500,19.000
240.000,148.500,19.000
240.250,148.500,19.000
240.500,149.250,19.000
240.750,149.500,19.000
241.000,149.500,19.000
241.250,149.250,19.000
241.500,149.250,18.500
241.750,149.000,19.000
242.000,149.000,18.500
242.250,149.250,18.500
242.500,149.250,19.000
242.750,149.500,18.500
243.000,149.500,18.500
243.250,150.000,18.500
243.500,150.000,18.500
243.750,149.750,18.000
244.000,149.750,18.500
244.250,148.250,19.000
244.500,147.750,19.000
244.750,147.750,19.500
245.000,148.500,19.000
245.250,148.000,19.000
245.500,148.000,19.500
245.750,147.500,19.500
246.000,147.500,19.500
246.250,147.500,20.000
246.500,148.000,20.000
246.750,148.000,20.000
247.000,147.500,20.500
247.250,147.500,20.000
247.500,146.750,20.000
247.750,146.750,20.000
248.000,146.750,20.000
248.250,148.250,20.000
248.500,148.250,20.500
248.750,148.250,21.000
249.000,148.250,18.500
249.250,148.250,20.000
249.500,148.250,22.500
249.750,148.750,22.500
250.000,148.750,24.000
250.250,148.750,23.500
250.500,149.250,23.000
250.750,149.250,24.000
251.000,150.000,24.000
251.250,150.000,22.000
251.500,149.750,22.000
251.750,149.500,22.000
252.000,149.500,22.000
252.250,148.750,22.000
252.500,147.750,21.500
252.750,147.750,21.500
253.000,146.750,21.000
253.250,146.750,20.000
253.500,145.250,20.000
253.750,143.500,20.000
254.000,143.500,19.500
254.250,142.000,20.000
254.500,142.000,20.000
254.750,140.500,20.500
255.000,140.500,20.000
255.250,139.000,19.500
255.500,138.500,19.500
255.750,138.500,19.500
256.000,138.000,20.000
256.250,138.000,20.500
256.500,137.500,20.000
256.750,137.500,20.000
257.000,136.750,20.000
257.250,136.000,19.500
257.500,136.000,19.500
257.750,135.750,20.000
258.000,135.750,20.000
258.250,135.000,20.000
258.500,135.000,20.000
258.750,135.000,19.500
259.000,135.250,19.500
259.250,135.250,19.500
259.500,135.750,20.000
259.750,135.750,20.000
260.000,135.250,20.500
260.250,135.250,20.500
260.500,135.750,20.500
260.750,135.750,20.500
261.000,135.750,20.500
261.250,136.000,20.500
261.500,136.000,21.000
261.750,136.000,20.500
262.000,136.000,20.500
262.250,136.500,20.500
262.500,137.000,20.500
262.750,137.000,20.500
263.000,137.250,20.500
263.250,137.250,20.000
263.500,137.250,20.000
263.750,137.250,20.500
264.000,136.500,20.500
264.250,136.500,20.500
264.500,136.500,20.500
264.750,136.250,20.500
265.000,136.250,20.500
265.250,136.250,20.500
265.500,125.500,20.500
265.750,124.250,21.000
266.000,124.250,21.000
266.250,124.250,22.000
266.500,124.250,22.500
266.750,124.000,22.500
267.000,124.000,23.000
267.250,123.750,22.500
267.500,123.750,22.500
267.750,123.750,22.500
268.000,123.750,22.500
268.250,123.500,23.000
268.500,123.500,23.000
268.750,123.500,23.000
269.000,123.500,22.000
269.250,123.500,22.500
269.500,123.500,23.000
269.750,123.500,22.500
270.000,0.000,22.500
270.250,0.000,23.000
270.500,0.000,22.500
270.750,0.000,23.000
271.000,147.750,22.500
271.250,148.500,23.000
271.500,148.500,25.500
271.750,149.750,25.000
272.000,150.250,24.500
272.250,150.250,25.500
272.500,150.750,26.500
272.750,150.750,27.500
273.000,151.000,28.000
273.250,151.000,27.500
273.500,150.000,27.500
273.750,151.000,28.000
274.000,151.000,28.000
274.250,151.000,28.500
274.500,149.500,29.000
274.750,148.500,28.500
275.000,148.500,28.500
275.250,145.500,28.500
275.500,145.500,29.000
275.750,143.750,29.000
276.000,143.750,29.000
276.250,143.750,29.000
276.500,145.000,28.500
276.750,146.750,28.500
277.000,146.750,29.000
277.250,147.750,28.500
277.500,147.750,28.000
277.750,148.000,27.500
278.000,148.000,27.500
278.250,145.250,27.000
278.500,145.250,26.500
278.750,145.250,26.000
279.000,143.500,26.500
279.250,143.500,27.000
279.500,142.250,26.500
279.750,142.250,26.000
280.000,141.000,26.000
280.250,141.000,26.500
280.500,141.000,27.000
280.750,143.250,27.000
281.000,143.250,26.000
281.250,144.750,25.000
281.500,144.750,24.000
281.750,147.000,24.000
282.000,147.000,24.000
282.250,147.000,23.500
282.500,147.750,22.500
282.750,147.750,22.000
283.000,148.750,21.500
283.250,148.750,20.500
283.500,149.500,20.500
283.750,149.750,20.500
284.000,149.750,20.500
284.250,149.750,21.000
284.500,150.000,20.500
284.750,150.000,20.000
285.000,149.250,21.500
285.250,149.250,21.500
285.500,147.500,21.500
285.750,146.000,22.000
286.000,146.000,22.000
286.250,146.750,21.000
286.500,146.750,21.000
286.750,147.500,21.000
287.000,147.500,20.500
287.250,147.250,21.000
287.500,146.500,20.500
287.750,146.500,20.000
288.000,140.750,19.500
288.250,137.000,20.000
288.500,137.000,19.500
288.750,137.000,19.500
289.000,135.000,20.000
289.250,134.750,19.500
289.500,134.750,19.500
289.750,126.500,19.000
290.000,126.500,19.000
290.250,126.500,19.000
290.500,126.500,19.000
290.750,127.250,19.000
