'seconds','uV','uV','uV','uV','uV',''
0.054,44.101,0.900,-13.000,-4.800,-12.800,0.579
0.055,45.201,0.600,-11.900,-3.400,-11.100,0.579
0.056,44.201,0.400,-10.500,-2.200,-9.600,0.579
0.057,41.801,0.500,-9.200,-1.100,-8.600,0.579
0.058,39.301,0.600,-8.400,-0.300,-8.300,0.579
0.059,37.601,0.600,-8.300,0.200,-8.300,0.579
0.060,37.001,0.300,-8.800,0.400,-8.400,0.822
0.061,37.201,-0.200,-9.500,0.500,-7.900,0.822
0.062,37.901,-0.800,-9.900,0.600,-7.000,0.822
0.063,38.801,-1.000,-9.700,0.900,-6.000,0.822
0.064,39.901,-0.600,-8.900,1.300,-5.400,0.822
0.065,40.601,0.000,-8.100,1.900,-5.600,0.822
0.066,40.301,0.700,-7.600,2.600,-6.600,0.822
0.067,38.501,1.000,-7.700,3.100,-7.700,0.822
0.068,35.501,0.900,-8.300,3.400,-8.400,0.822
0.069,32.200,0.500,-8.800,3.300,-8.200,0.822
0.070,30.000,0.300,-8.800,2.900,-7.400,0.579
0.071,30.000,0.700,-8.100,2.100,-6.400,0.579
0.072,31.900,1.700,-6.900,1.300,-5.900,0.579
0.073,34.601,2.900,-5.600,0.500,-6.200,0.579
0.074,36.301,3.800,-4.500,0.000,-7.100,0.579
0.075,36.101,4.100,-3.900,-0.400,-8.000,0.579
0.076,34.001,3.500,-3.500,-0.600,-8.500,0.579
0.077,31.300,2.500,-3.300,-0.600,-8.400,0.579
0.078,29.500,1.400,-3.000,-0.500,-8.000,0.579
0.079,29.800,0.600,-2.900,-0.200,-7.500,0.579
0.080,32.200,0.200,-3.100,0.200,-7.100,0.668
0.081,35.801,0.100,-3.800,0.800,-6.900,0.668
0.082,39.201,0.200,-4.700,1.300,-6.700,0.668
0.083,41.301,0.300,-5.600,1.500,-6.400,0.668
0.084,41.401,0.300,-5.900,1.300,-6.200,0.668
0.085,39.701,0.200,-5.700,0.900,-6.200,0.668
0.086,37.001,-0.200,-5.000,0.400,-6.500,0.668
0.087,34.301,-1.000,-4.300,0.100,-7.000,0.668
0.088,32.500,-1.900,-3.800,0.200,-7.200,0.668
0.089,32.200,-2.600,-3.600,0.600,-6.900,0.668
0.090,33.401,-2.600,-3.600,1.200,-6.300,0.680
0.091,35.401,-1.700,-3.700,1.600,-5.600,0.680
0.092,37.101,-0.100,-3.900,1.700,-5.300,0.680
0.093,37.901,1.400,-4.200,1.300,-5.400,0.680
0.094,37.401,2.200,-4.600,0.700,-5.900,0.680
0.095,36.201,2.200,-5.100,0.200,-6.300,0.680
0.096,35.101,1.300,-5.300,-0.200,-6.300,0.680
0.097,34.701,0.200,-4.900,-0.300,-6.000,0.680
0.098,35.201,-0.500,-4.000,-0.100,-5.500,0.680
0.099,36.001,-0.800,-2.900,0.100,-5.200,0.680
0.100,36.301,-0.700,-2.200,0.400,-5.200,0.708
0.101,35.501,-0.500,-2.200,0.800,-5.400,0.708
0.102,33.801,-0.400,-3.000,1.300,-5.400,0.708
0.103,32.000,-0.600,-4.100,1.900,-5.100,0.708
0.104,31.300,-0.800,-5.100,2.600,-4.400,0.708
0.105,32.100,-0.900,-5.500,3.100,-3.800,0.708
0.106,34.101,-0.900,-5.500,3.400,-3.600,0.708
0.107,35.901,-0.700,-5.300,3.200,-3.900,0.708
0.108,36.601,-0.400,-5.500,2.700,-4.700,0.708
0.109,35.401,-0.300,-6.200,2.100,-5.700,0.708
0.110,33.001,-0.200,-7.100,1.400,-6.300,0.579
0.111,30.300,-0.200,-8.000,1.000,-6.400,0.579
0.112,28.700,-0.100,-8.500,0.700,-5.900,0.579
0.113,28.700,0.000,-8.400,0.700,-4.900,0.579
0.114,30.600,0.200,-7.800,0.700,-3.800,0.579
0.115,33.701,0.400,-7.000,0.700,-3.000,0.579
0.116,37.201,0.700,-6.100,0.700,-2.500,0.579
0.117,40.301,1.200,-5.400,0.700,-2.400,0.579
0.118,42.001,1.600,-4.800,0.900,-2.500,0.579
0.119,41.701,1.900,-4.300,1.100,-2.400,0.579
0.120,39.201,2.100,-3.800,1.500,-1.900,0.822
0.121,35.201,2.100,-3.200,2.000,-0.900,0.822
0.122,31.000,2.100,-2.500,2.500,0.200,0.822
0.123,28.100,2.300,-1.700,2.900,1.200,0.822
0.124,27.300,2.700,-0.800,3.100,1.500,0.822
0.125,28.300,3.400,0.000,3.100,1.200,0.822
0.126,30.100,4.100,0.500,2.900,0.400,0.822
0.127,31.300,4.400,0.300,2.600,-0.300,0.822
0.128,31.500,4.400,-0.400,2.300,-0.700,0.822
0.129,31.000,4.200,-1.300,2.400,-0.400,0.822
0.130,31.100,4.100,-2.100,2.700,0.200,0.579
0.131,32.700,4.500,-2.400,3.300,0.900,0.579
0.132,35.701,5.300,-2.200,3.900,1.400,0.579
0.133,39.001,6.200,-1.800,4.100,1.500,0.579
0.134,41.201,6.500,-1.600,3.800,1.200,0.579
0.135,41.601,5.800,-1.900,3.300,0.700,0.579
0.136,40.601,4.100,-2.800,2.800,0.100,0.579
0.137,39.201,2.200,-4.100,2.700,-0.200,0.579
0.138,38.701,0.600,-5.300,3.100,-0.400,0.579
0.139,39.201,-0.100,-6.300,3.900,-0.200,0.579
0.140,40.001,0.100,-7.000,4.800,0.000,0.668
0.141,39.901,0.600,-7.400,5.200,0.300,0.668
0.142,37.901,0.500,-7.700,4.900,0.500,0.668
0.143,34.501,-0.300,-8.000,3.900,0.600,0.668
0.144,30.800,-1.800,-8.200,2.800,0.600,0.668
0.145,28.700,-3.200,-8.400,1.700,0.400,0.668
0.146,29.300,-4.100,-8.500,1.200,0.300,0.668
0.147,32.500,-4.100,-8.500,1.000,0.200,0.668
0.148,36.901,-3.700,-8.500,1.100,0.200,0.668
0.149,40.401,-3.300,-8.400,1.200,0.300,0.668
0.150,41.601,-3.400,-8.300,1.200,0.700,0.680
0.151,40.201,-4.000,-8.000,1.100,1.000,0.680
0.152,37.301,-4.700,-7.600,1.200,1.100,0.680
0.153,34.701,-5.200,-7.400,1.300,1.000,0.680
0.154,33.901,-5.500,-7.300,1.500,0.400,0.680
0.155,35.301,-5.700,-7.400,1.400,-0.400,0.680
0.156,38.001,-6.000,-7.700,1.000,-1.100,0.680
0.157,40.901,-6.500,-7.900,0.400,-1.500,0.680
0.158,42.601,-7.200,-8.000,-0.100,-1.400,0.680
0.159,42.701,-7.700,-8.100,-0.300,-1.200,0.680
0.160,41.501,-8.000,-8.400,-0.200,-1.100,0.692
0.161,39.501,-8.200,-9.200,0.000,-1.400,0.692
0.162,37.401,-8.700,-10.500,0.100,-2.000,0.692
0.163,35.701,-9.400,-12.100,0.200,-2.600,0.692
0.164,34.801,-10.200,-13.400,0.400,-2.400,0.692
0.165,34.701,-10.700,-14.000,1.000,-1.300,0.692
0.166,35.701,-10.600,-13.500,2.300,0.700,0.692
0.167,37.701,-9.700,-12.300,3.900,2.900,0.692
0.168,40.301,-8.600,-10.700,5.500,4.800,0.692
0.169,43.401,-7.500,-9.100,6.700,6.100,0.692
0.170,46.501,-6.800,-7.800,7.400,7.100,0.579
0.171,49.701,-6.400,-6.600,7.800,8.100,0.579
0.172,53.501,-6.000,-5.100,8.200,9.800,0.579
0.173,58.201,-5.100,-3.100,9.000,12.400,0.579
0.174,64.301,-3.600,-0.300,10.400,16.200,0.579
0.175,71.901,-1.500,3.100,12.500,21.000,0.579
0.176,80.701,1.100,6.800,15.100,26.500,0.579
0.177,90.401,3.900,10.500,18.100,32.200,0.579
0.178,100.202,6.800,13.700,21.100,37.501,0.579
0.179,109.402,9.500,16.000,23.600,41.201,0.579
0.180,116.802,11.700,17.100,24.900,42.801,0.822
0.181,121.302,12.800,16.600,24.700,41.701,0.822
0.182,122.102,12.500,14.900,22.900,38.301,0.822
0.183,119.002,10.700,12.200,19.900,33.601,0.822
0.184,112.402,8.000,9.400,16.500,28.500,0.822
0.185,103.402,5.000,6.700,13.300,23.700,0.822
0.186,93.101,2.000,4.400,10.600,19.200,0.822
0.187,82.101,-0.600,1.900,8.200,14.800,0.822
0.188,70.501,-3.200,-1.300,5.700,10.000,0.822
0.189,57.601,-6.000,-5.500,2.900,4.600,0.822
0.190,43.401,-9.200,-10.600,-0.200,-0.800,0.579
0.191,28.100,-12.400,-15.500,-3.100,-5.600,0.579
0.192,13.100,-15.200,-19.300,-5.200,-8.800,0.579
0.193,0.200,-17.100,-21.200,-6.100,-10.200,0.579
0.194,-8.600,-17.800,-21.100,-5.900,-9.900,0.579
0.195,-12.700,-17.500,-19.400,-4.900,-8.500,0.579
0.196,-12.200,-16.600,-17.100,-3.700,-6.700,0.579
0.197,-8.800,-15.700,-15.000,-2.700,-5.200,0.579
0.198,-4.500,-15.000,-13.600,-2.100,-4.000,0.579
0.199,-1.000,-14.900,-12.700,-1.700,-2.900,0.579
0.200,1.400,-14.900,-12.100,-1.300,-1.500,0.668
0.201,3.200,-14.800,-11.200,-0.400,0.400,0.668
0.202,5.900,-14.200,-10.100,1.100,2.600,0.668
0.203,10.500,-13.000,-8.700,3.100,4.600,0.668
0.204,17.000,-11.400,-7.400,5.100,6.200,0.668
0.205,24.200,-10.000,-6.500,6.700,7.100,0.668
0.206,30.500,-9.200,-6.000,7.400,7.500,0.668
0.207,34.301,-9.300,-5.800,7.300,7.600,0.668
0.208,35.401,-10.100,-5.500,6.400,7.900,0.668
0.209,34.801,-11.200,-4.900,5.200,8.100,0.668
0.210,34.101,-12.100,-3.900,3.900,8.200,0.680
0.211,34.701,-12.800,-2.700,3.000,7.900,0.680
0.212,36.501,-13.400,-2.000,2.700,7.200,0.680
0.213,38.701,-14.100,-1.900,2.800,6.600,0.680
0.214,39.801,-15.100,-2.600,3.400,6.400,0.680
0.215,38.901,-16.300,-3.800,4.100,6.900,0.680
0.216,36.601,-17.300,-4.900,4.700,8.000,0.680
0.217,34.301,-17.900,-5.500,5.000,9.200,0.680
0.218,33.701,-18.000,-5.500,5.000,10.100,0.680
0.219,35.601,-17.800,-5.000,4.700,10.500,0.680
0.220,39.201,-17.600,-4.400,4.500,10.500,0.720
0.221,42.801,-17.500,-4.300,4.600,10.700,0.720
0.222,44.901,-17.500,-4.500,5.200,11.400,0.720
0.223,44.601,-17.400,-4.800,6.200,12.400,0.720
0.224,42.501,-16.900,-4.800,7.100,13.500,0.720
0.225,39.801,-16.100,-4.300,7.800,14.400,0.720
0.226,37.801,-15.200,-3.200,8.000,14.800,0.720
0.227,36.901,-14.400,-1.900,8.000,14.800,0.720
0.228,36.901,-13.800,-0.700,7.900,14.700,0.720
0.229,37.401,-13.200,0.200,7.900,14.800,0.720
0.230,37.801,-12.500,0.700,7.800,15.200,0.579
0.231,38.401,-11.600,0.800,7.800,15.500,0.579
0.232,39.401,-10.600,0.600,7.600,15.500,0.579
0.233,40.801,-9.900,0.300,7.300,15.300,0.579
0.234,42.201,-10.000,-0.100,6.800,14.800,0.579
0.235,43.301,-11.000,-0.700,6.300,14.400,0.579
0.236,43.401,-12.600,-1.300,5.900,14.300,0.579
0.237,42.601,-14.300,-1.900,5.800,14.400,0.579
0.238,41.101,-15.700,-2.700,6.000,14.600,0.579
0.239,39.601,-16.400,-3.500,6.300,14.700,0.579
0.240,38.501,-16.800,-4.200,6.500,14.500,0.822
0.241,38.201,-17.100,-4.800,6.500,13.900,0.822
0.242,38.701,-17.700,-5.100,6.200,13.000,0.822
0.243,39.701,-18.700,-5.200,5.400,12.000,0.822
0.244,41.001,-19.900,-5.100,4.500,11.100,0.822
0.245,42.001,-20.700,-4.900,3.700,10.600,0.822
0.246,42.501,-21.100,-4.600,3.200,10.400,0.822
0.247,42.301,-20.900,-4.300,3.200,10.600,0.822
0.248,41.401,-20.300,-3.900,3.600,10.900,0.822
0.249,40.301,-19.600,-3.600,4.200,11.100,0.822
0.250,39.601,-19.200,-3.200,4.800,11.100,0.579
0.251,39.401,-19.100,-3.100,5.200,10.900,0.579
0.252,39.701,-19.200,-3.100,5.300,10.500,0.579
0.253,39.901,-19.400,-3.000,5.200,10.200,0.579
0.254,39.401,-19.700,-2.800,5.000,10.100,0.579
0.255,38.101,-19.900,-2.400,4.700,10.200,0.579
0.256,36.301,-20.000,-1.800,4.300,10.400,0.579
0.257,35.201,-20.000,-1.300,3.900,10.700,0.579
0.258,35.701,-19.900,-1.200,3.800,11.000,0.579
0.259,37.901,-19.600,-1.500,4.200,11.300,0.579
0.260,41.101,-19.000,-2.100,5.000,11.700,0.668
0.261,43.801,-18.000,-2.400,6.300,12.100,0.668
0.262,44.601,-16.900,-2.200,7.600,12.600,0.668
0.263,43.201,-15.700,-1.400,8.600,13.100,0.668
0.264,40.401,-14.700,-0.300,9.000,13.300,0.668
0.265,37.901,-13.900,0.900,8.900,13.200,0.668
0.266,37.201,-13.400,1.600,8.400,12.700,0.668
0.267,38.601,-13.000,1.800,8.100,12.000,0.668
0.268,41.401,-12.300,1.500,8.200,11.400,0.668
0.269,43.801,-11.400,1.100,8.700,11.200,0.668
0.270,44.501,-10.200,0.700,9.300,11.300,0.680
0.271,42.901,-9.000,0.500,9.700,11.700,0.680
0.272,40.001,-8.300,0.300,9.800,11.800,0.680
0.273,37.101,-8.100,0.100,9.400,11.500,0.680
0.274,35.601,-8.300,-0.300,9.000,10.800,0.680
0.275,35.901,-8.400,-0.800,8.700,10.000,0.680
0.276,37.601,-7.900,-1.100,8.900,9.300,0.680
0.277,40.001,-6.600,-1.000,9.500,9.100,0.680
0.278,41.801,-4.600,-0.500,10.300,9.400,0.680
0.279,42.601,-2.400,0.300,11.300,9.800,0.680
0.280,42.301,-0.600,0.900,12.100,10.100,0.704
0.281,41.101,0.400,1.000,12.700,10.100,0.704
0.282,39.301,0.700,0.500,12.900,9.800,0.704
0.283,37.401,0.800,-0.400,12.700,9.400,0.704
0.284,35.601,0.900,-1.300,12.200,9.000,0.704
0.285,34.301,1.400,-1.900,11.400,8.700,0.704
0.286,33.901,2.100,-2.000,10.600,8.400,0.704
0.287,34.201,2.600,-1.800,9.700,8.100,0.704
0.288,35.301,2.700,-1.500,8.900,7.800,0.704
0.289,36.601,2.300,-1.600,8.100,7.500,0.704
0.290,37.601,1.800,-2.000,7.400,7.200,0.579
0.291,38.001,1.400,-2.400,6.900,7.000,0.579
0.292,37.801,1.400,-2.600,6.800,6.600,0.579
0.293,37.801,2.000,-2.700,7.200,6.100,0.579
0.294,38.301,3.000,-2.600,8.000,5.300,0.579
0.295,39.801,4.200,-2.800,9.000,4.500,0.579
0.296,41.801,5.400,-3.200,10.000,3.700,0.579
0.297,43.501,6.500,-3.800,10.700,3.200,0.579
0.298,43.901,7.300,-4.300,10.900,2.900,0.579
0.299,42.801,7.700,-4.500,10.700,3.000,0.579
0.300,40.601,7.800,-4.400,10.200,3.300,0.822
0.301,38.501,7.700,-4.000,9.500,3.400,0.822
0.302,37.501,7.400,-3.700,8.700,3.100,0.822
0.303,38.101,7.000,-3.600,7.800,2.400,0.822
0.304,39.401,6.500,-3.500,7.100,1.300,0.822
0.305,40.601,5.900,-3.400,6.600,0.300,0.822
0.306,40.701,5.200,-3.100,6.400,-0.300,0.822
0.307,39.801,4.600,-2.600,6.500,-0.500,0.822
0.308,38.901,4.000,-2.200,6.700,-0.500,0.822
0.309,39.001,3.800,-2.200,7.000,-0.700,0.822
0.310,40.201,3.900,-2.500,7.200,-1.300,0.579
0.311,42.001,4.200,-3.100,7.200,-2.300,0.579
0.312,43.101,4.500,-3.700,7.100,-3.200,0.579
0.313,42.801,4.700,-3.700,7.000,-3.400,0.579
0.314,41.301,4.700,-3.100,6.700,-2.900,0.579
0.315,40.001,4.800,-2.000,6.300,-1.900,0.579
0.316,40.401,5.200,-1.000,5.800,-1.100,0.579
0.317,43.001,5.600,-0.400,5.100,-1.000,0.579
0.318,46.901,6.000,-0.400,4.500,-1.500,0.579
0.319,50.301,6.100,-1.000,4.100,-2.200,0.579
0.320,51.601,5.900,-1.700,3.900,-2.500,0.668
0.321,50.101,5.700,-2.100,3.900,-2.200,0.668
0.322,47.101,5.500,-2.100,3.900,-1.200,0.668
0.323,44.501,5.700,-1.700,3.800,-0.100,0.668
0.324,43.801,6.200,-1.200,3.600,0.800,0.668
0.325,45.301,6.600,-0.800,3.300,1.200,0.668
0.326,47.801,6.900,-0.700,3.000,1.200,0.668
0.327,49.601,7.000,-0.700,2.800,1.200,0.668
0.328,49.201,6.900,-0.700,2.800,1.200,0.668
0.329,46.801,7.100,-0.700,3.100,1.400,0.668
0.330,43.401,7.600,-0.600,3.400,1.700,0.680
0.331,41.101,8.500,-0.500,4.000,1.900,0.680
0.332,40.801,9.700,-0.400,4.500,1.800,0.680
0.333,42.801,10.900,0.000,5.000,1.600,0.680
0.334,45.801,11.800,0.500,5.100,1.200,0.680
0.335,48.301,12.300,1.400,5.000,0.700,0.680
0.336,49.401,12.300,2.300,4.500,0.300,0.680
0.337,49.001,11.900,3.100,3.900,0.200,0.680
0.338,47.901,11.200,3.600,3.400,0.300,0.680
0.339,47.101,10.400,3.700,3.200,0.400,0.680
0.340,47.401,9.600,3.400,3.100,0.100,0.692
0.341,48.801,9.000,2.700,3.000,-0.800,0.692
0.342,50.701,8.400,1.500,2.700,-2.200,0.692
0.343,52.301,7.700,-0.400,2.200,-3.800,0.692
0.344,52.801,6.800,-2.800,1.700,-5.000,0.692
0.345,51.901,5.900,-5.300,1.400,-5.100,0.692
0.346,50.001,5.300,-7.400,1.400,-4.300,0.692
0.347,47.401,5.200,-8.500,1.600,-2.900,0.692
0.348,45.301,5.700,-8.500,1.800,-1.800,0.692
0.349,44.401,6.500,-7.600,1.600,-1.500,0.692
0.350,45.201,7.200,-6.500,0.900,-2.100,0.579
0.351,47.601,7.500,-6.000,-0.300,-3.300,0.579
0.352,50.301,7.200,-6.400,-1.500,-4.400,0.579
0.353,52.201,6.500,-7.600,-2.200,-4.900,0.579
0.354,52.101,5.900,-9.200,-2.300,-4.800,0.579
0.355,50.201,5.600,-10.800,-1.700,-4.300,0.579
0.356,47.401,5.700,-11.900,-0.800,-4.000,0.579
0.357,45.201,6.000,-12.600,-0.100,-4.200,0.579
0.358,44.601,5.900,-12.900,0.300,-4.800,0.579
0.359,45.801,5.200,-13.100,0.100,-5.600,0.579
0.360,47.601,4.000,-13.000,-0.300,-6.100,0.822
0.361,49.001,2.700,-12.900,-0.600,-6.200,0.822
0.362,48.901,1.800,-12.500,-0.600,-5.900,0.822
0.363,47.301,1.600,-11.900,-0.200,-5.600,0.822
0.364,45.301,1.900,-11.200,0.300,-5.500,0.822
0.365,43.801,2.400,-10.600,0.900,-5.600,0.822
0.366,43.801,2.700,-10.000,1.200,-5.800,0.822
0.367,45.501,2.900,-9.500,1.400,-5.800,0.822
0.368,48.301,2.900,-8.900,1.600,-5.600,0.822
0.369,50.901,3.100,-8.300,1.700,-5.200,0.822
0.370,52.201,3.500,-7.900,1.700,-4.800,0.579
0.371,51.601,3.900,-8.000,1.600,-4.600,0.579
0.372,49.501,4.000,-8.500,1.400,-4.600,0.579
0.373,47.201,3.700,-9.500,1.100,-4.900,0.579
0.374,46.001,3.200,-10.500,0.900,-5.500,0.579
0.375,46.401,2.800,-11.400,0.700,-6.300,0.579
0.376,47.901,2.900,-11.800,0.700,-7.200,0.579
0.377,49.101,3.400,-11.800,0.700,-8.000,0.579
0.378,48.801,4.300,-11.500,0.800,-8.300,0.579
0.379,47.101,5.100,-10.900,1.100,-8.300,0.579
0.380,45.601,5.800,-9.900,1.700,-8.000,0.668
0.381,45.701,6.400,-8.700,2.400,-7.700,0.668
0.382,47.901,6.900,-7.200,3.000,-7.800,0.668
0.383,50.901,7.400,-5.800,3.000,-8.200,0.668
0.384,52.501,7.800,-5.000,2.400,-8.700,0.668
0.385,51.401,7.900,-5.100,1.200,-8.900,0.668
0.386,48.101,7.600,-5.900,-0.200,-8.700,0.668
0.387,44.901,7.100,-7.100,-1.300,-8.100,0.668
0.388,44.301,6.600,-8.200,-1.700,-7.400,0.668
0.389,46.501,6.200,-8.800,-1.300,-7.100,0.668
0.390,49.701,6.100,-8.900,-0.500,-7.300,0.680
0.391,51.101,6.200,-8.600,0.500,-7.800,0.680
0.392,49.201,6.300,-8.300,1.300,-8.200,0.680
0.393,44.901,6.300,-7.800,1.700,-8.400,0.680
0.394,41.201,6.100,-7.100,1.600,-8.100,0.680
0.395,40.401,5.900,-6.300,1.100,-7.600,0.680
0.396,42.601,5.700,-5.300,0.400,-7.100,0.680
0.397,45.701,5.500,-4.500,-0.500,-6.700,0.680
0.398,46.901,5.600,-4.100,-1.300,-6.400,0.680
0.399,44.901,5.800,-4.200,-1.500,-6.100,0.680
0.400,41.101,6.200,-4.500,-1.000,-5.600,0.720
0.401,38.301,6.600,-4.500,-0.100,-5.100,0.720
0.402,38.601,6.700,-4.200,1.100,-4.600,0.720
0.403,41.901,6.400,-3.600,1.900,-4.400,0.720
0.404,46.001,5.500,-3.000,1.900,-4.700,0.720
0.405,48.401,4.400,-2.800,1.400,-5.400,0.720
0.406,48.301,3.400,-3.500,0.700,-6.200,0.720
0.407,46.501,3.000,-4.800,0.200,-6.800,0.720
0.408,44.701,3.200,-6.700,0.300,-6.900,0.720
0.409,44.201,4.000,-8.500,0.800,-6.600,0.720
0.410,44.701,4.900,-9.700,1.400,-5.900,0.579
0.411,45.501,5.600,-10.100,1.700,-5.300,0.579
0.412,45.901,5.700,-9.800,1.500,-5.200,0.579
0.413,46.001,5.500,-9.100,1.000,-5.600,0.579
0.414,46.201,5.100,-8.500,0.700,-6.500,0.579
0.415,46.901,4.700,-8.400,0.800,-7.600,0.579
0.416,47.701,4.500,-9.100,1.200,-8.200,0.579
0.417,47.801,4.200,-10.100,1.700,-8.300,0.579
0.418,47.001,3.900,-11.000,1.900,-7.800,0.579
0.419,46.101,3.700,-11.400,1.800,-6.900,0.579
0.420,45.901,3.800,-10.900,1.300,-5.900,0.822
0.421,47.201,4.400,-9.700,0.700,-5.200,0.822
0.422,49.201,5.500,-8.300,0.400,-4.500,0.822
0.423,50.601,6.800,-7.500,0.500,-4.000,0.822
0.424,50.301,7.900,-7.600,0.900,-3.500,0.822
0.425,48.501,8.400,-8.600,1.500,-3.000,0.822
0.426,46.701,8.200,-10.100,2.000,-2.900,0.822
0.427,46.501,7.600,-11.400,2.200,-3.300,0.822
0.428,48.601,7.000,-11.800,2.100,-4.100,0.822
0.429,51.901,6.800,-11.100,1.700,-5.200,0.822
0.430,54.501,6.900,-9.800,1.000,-6.100,0.579
0.431,54.901,7.100,-8.200,0.200,-6.600,0.579
0.432,52.701,7.000,-7.200,-0.600,-6.500,0.579
0.433,49.201,6.300,-6.900,-1.200,-6.200,0.579
0.434,45.901,5.200,-7.200,-1.800,-5.900,0.579
0.435,44.201,4.000,-7.500,-2.000,-5.800,0.579
0.436,44.001,3.200,-7.600,-2.000,-5.800,0.579
0.437,44.501,3.100,-7.100,-1.700,-5.900,0.579
0.438,44.901,3.600,-6.200,-1.000,-5.600,0.579
0.439,44.701,4.500,-5.200,0.000,-4.800,0.579
0.440,44.101,5.500,-4.500,1.100,-3.700,0.668
0.441,43.601,6.200,-4.200,2.200,-2.700,0.668
0.442,43.601,6.600,-4.400,3.000,-2.000,0.668
0.443,44.101,6.600,-4.700,3.400,-1.900,0.668
0.444,44.801,6.600,-5.000,3.300,-2.200,0.668
0.445,45.201,6.700,-5.000,3.000,-2.900,0.668
0.446,45.001,7.000,-4.600,2.500,-3.400,0.668
0.447,44.201,7.700,-3.900,2.000,-3.800,0.668
0.448,43.001,8.500,-3.100,1.700,-3.700,0.668
0.449,41.901,9.400,-2.600,1.600,-3.400,0.668
0.450,41.401,10.100,-2.300,1.700,-2.700,0.680
0.451,41.901,10.600,-2.500,2.000,-1.900,0.680
0.452,43.201,11.000,-2.800,2.500,-1.000,0.680
0.453,44.601,11.500,-3.100,3.200,-0.200,0.680
0.454,45.401,12.100,-3.100,4.100,0.300,0.680
0.455,45.001,12.800,-2.800,4.900,0.400,0.680
0.456,43.801,13.200,-2.500,5.400,0.100,0.680
0.457,42.301,12.900,-2.300,5.200,-0.600,0.680
0.458,41.201,12.100,-2.400,4.300,-1.200,0.680
0.459,40.601,10.700,-2.800,3.000,-1.600,0.680
0.460,40.301,9.500,-2.900,1.700,-1.500,0.708
0.461,39.601,8.800,-2.500,1.000,-1.200,0.708
0.462,38.501,8.600,-1.300,0.900,-0.900,0.708
0.463,37.501,9.000,0.300,1.200,-0.800,0.708
